Team,Nationality,Position,Age,Potential,Name
Charlton Athletic ,Montserrat,Delantero Centro,30,Bueno,Lyle Taylor
Gençlerbirligi SK ,Senegal,Defensa Central,30,Bueno,Zargo Touré
Gazisehir Gaziantep Futbol Kulübü ,Ghana,Medio Centro Defensivo|Medio Centro,30,Bueno,Abdul-Aziz Tetteh
Lecce ,Greece,Medio Centro,29,Bueno,Panagiotis Tachtsidis
FC Cincinnati ,Netherlands,Defensa Central,31,Bueno,Maikel van der Werff
Pescara ,Italy,Defensa Central,33,Bueno,Gennaro Scognamiglio
Sparta Praha ,Zimbabwe,Lateral Izquierdo|Defensa Central,34,Bueno,Costa Nhamoinesu
Cádiz CF ,Spain,Delantero Centro,29,Bueno,Álvaro Giménez
Vitória Setúbal ,Portugal,Lateral Derecho|Lateral Izquierdo,32,Bueno,Sílvio
Columbus Crew SC ,Ghana,Carrilero Derecho|Lateral Derecho|Extremo Derecho,34,Bueno,Harrison Afful
Denizlispor ,Turkey,Medio Derecho|Medio Izquierdo,33,Bueno,Olcay Sahan
Gençlerbirligi SK ,Portugal,Medio Derecho,32,Bueno,Daniel Candeias
Universidad Católica ,Chile,Portero,32,Bueno,Cristopher Toselli
Panathinaikos FC ,Sweden,Carrilero Derecho|Lateral Derecho|Extremo Derecho,28,Bueno,Mattias Johansson
SPAL ,Poland,Defensa Central,34,Bueno,Thiago Cionek
RC Deportivo ,Spain,Medio Centro Defensivo|Medio Centro,35,Bueno,Alex Bergantiños
Atlético Nacional ,Argentina,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,35,Bueno,Alberto Costa
Reading ,England,Defensa Central,32,Bueno,Michael Morrison
Antalyaspor ,Congo,Medio Centro Defensivo,32,Bueno,Delvin N'Dinga
Al Hazem ,Morocco,Medio Centro Ofensivo,30,Bueno,Driss Fettouhi
Benevento ,Italy,Delantero Centro|Media Punta,32,Bueno,Marco Sau
Servette FC ,France,Defensa Central,29,Bueno,Vincent Sasso
Cittadella ,Italy,Medio Centro Defensivo|Medio Centro,38,Bueno,Manuel Iori
Colo-Colo ,Chile,Medio Centro Defensivo|Medio Centro,33,Bueno,Carlos Carmona
Sivasspor ,Mali,Delantero Centro,34,Bueno,Mustapha Yatabaré
Gençlerbirligi SK ,Togo,Delantero Centro|Medio Derecho|Medio Izquierdo,31,Bueno,Floyd Ayité
Antalyaspor ,Czech Republic,Lateral Derecho|Lateral Izquierdo|Defensa Central,31,Bueno,Ondrej Celustka
San Jose Earthquakes ,Mexico,Defensa Central,31,Bueno,Oswaldo Alanís
New England Revolution ,Netherlands,Lateral Izquierdo|Medio Izquierdo,31,Bueno,Alexander Büttner
Fortuna Düsseldorf ,Germany,Portero,32,Bueno,Raphael Wolf
LASK Linz ,Australia,Medio Centro,31,Bueno,James Holland
Birmingham City ,Ecuador,Medio Izquierdo|Extremo Izquierdo,30,Bueno,Jefferson Montero
Cardiff City ,Ghana,Medio Derecho|Medio Izquierdo|Extremo Derecho,32,Bueno,Albert Adomah
Sporting Kansas City ,Honduras,Medio Centro,33,Bueno,Roger Espinoza
Swansea City ,England,Lateral Derecho|Lateral Izquierdo,31,Bueno,Kyle Naughton
Universidad de Chile ,Argentina,Lateral Derecho,34,Bueno,Matías Rodríguez
Chievo Verona ,Serbia,Delantero Centro,32,Bueno,Filip Dordevic
FC Cincinnati ,Netherlands,Medio Centro|Medio Centro Ofensivo|Media Punta,31,Bueno,Siem de Jong
Club Atlético Banfield ,Uruguay,Portero,37,Bueno,Esteban Conde
La Berrichonne de Châteauroux ,Togo,Delantero Centro|Medio Derecho|Medio Izquierdo,29,Bueno,Gilles Sunu
Lechia Gdansk ,Slovakia,Portero,35,Bueno,Dušan Kuciak
Molde FK ,Norway,Defensa Central,32,Bueno,Vegard Forren
Benevento ,Italy,Delantero Centro,31,Bueno,Massimo Coda
Valenciennes FC ,Cameroon,Delantero Centro|Medio Derecho,31,Bueno,Benjamin Moukandjo
R. Valladolid CF ,Spain,Lateral Derecho|Medio Derecho,32,Bueno,Antoñito
Pohang Steelers ,Korea Republic,Defensa Central,37,Bueno,Kim Kwang Suk
West Bromwich Albion ,Wales,Delantero Centro|Extremo Derecho,31,Bueno,Hal Robson-Kanu
FC Seoul ,Korea Republic,Medio Derecho|Medio Centro,32,Bueno,Go Yo Han
SV Zulte Waregem ,Belgium,Delantero Centro|Medio Derecho|Medio Izquierdo,28,Bueno,Gianni Bruno
Belenenses ,Portugal,Media Punta|Extremo Derecho|Extremo Izquierdo,31,Bueno,Licá
Nîmes Olympique ,France,Delantero Centro,32,Bueno,Nolan Roux
Gazisehir Gaziantep Futbol Kulübü ,Cameroon,Defensa Central,31,Bueno,Jean-Armel Kana-Biyik
Derby County ,England,Delantero Centro|Medio Derecho|Medio Izquierdo,30,Bueno,Martyn Waghorn
FK Austria Wien ,Austria,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,31,Bueno,Alexander Grünwald
1. FC Heidenheim 1846 ,Germany,Lateral Izquierdo|Defensa Central|Medio Centro Defensivo,33,Bueno,Norman Theuerkauf
SC Braga ,Portugal,Delantero Centro,30,Bueno,Rui Fonte
Middlesbrough ,England,Carrilero Derecho|Defensa Central|Medio Centro|Extremo Derecho,32,Bueno,Jonny Howson
Deportivo Cali ,Colombia,Portero,38,Bueno,David González
Guaraní (Paraguay) ,Paraguay,Delantero Centro,33,Bueno,Raúl Bobadilla
RC Deportivo ,France,Delantero Centro|Extremo Derecho,32,Bueno,Claudio Beauvue
SpVgg Greuther Fürth ,lbania,Defensa Central,34,Bueno,Mërgim Mavraj
Shandong Luneng TaiShan FC ,China PR,Medio Centro Defensivo|Medio Centro,33,Bueno,Hao Junmin
Leeds United ,Switzerland,Lateral Derecho|Lateral Izquierdo|Defensa Central,31,Bueno,Gaetano Berardi
Sydney FC ,New Zealand,Delantero Centro|Extremo Derecho,30,Bueno,Kosta Barbarouses
Shanghai Greenland Shenhua FC ,China PR,Portero,33,Bueno,Zeng Cheng
Olympiacos CFP ,Greece,Lateral Derecho|Lateral Izquierdo|Medio Centro Defensivo,35,Bueno,Vassilis Torosidis
Kashima Antlers ,Brazil,Medio Centro Defensivo|Medio Centro,34,Bueno,Léo Silva
Deportivo Toluca ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,33,Bueno,William
Monarcas Morelia ,Mexico,Lateral Derecho,33,Bueno,José Joaquín Martínez
Malmö FF ,Denmark,Medio Izquierdo,33,Bueno,Søren Rieks
Wellington Phoenix ,England,Delantero Centro,32,Bueno,Gary Hooper
Sheffield Wednesday ,Italy,Delantero Centro|Medio Centro Ofensivo|Extremo Izquierdo,30,Bueno,Fernando Forestieri
Salerno ,Italy,Delantero Centro|Extremo Derecho,33,Bueno,Alessio Cerci
Albacete BP ,Spain,Defensa Central,34,Bueno,Sergio Sánchez
MKE Ankaragücü ,Senegal,Medio Centro Defensivo,33,Bueno,Ricardo Faty
Boavista FC ,Spain,Delantero Centro|Medio Centro Ofensivo,32,Bueno,Bueno
Club Atlético de San Luis ,Mexico,Portero,31,Bueno,Felipe Rodríguez
Athlétic Club Ajaccio ,France,Medio Centro Defensivo|Medio Centro,34,Bueno,Mathieu Coutadeur
KAA Gent ,Sweden,Lateral Derecho|Defensa Central,33,Bueno,Mikael Lustig
Argentinos Juniors ,Argentina,Lateral Derecho|Defensa Central,31,Bueno,Miguel Angel Torrén
Karlsruher SC ,Tunisia,Medio Derecho|Medio Izquierdo,32,Bueno,Änis Ben-Hatira
Puebla ,Colombia,Medio Centro|Medio Centro Ofensivo,35,Bueno,Christian Marrugo
Kawasaki Frontale ,Korea Republic,Portero,35,Bueno,Jung Sung Ryong
Suwon Samsung Bluewings ,Korea Republic,Medio Centro Ofensivo|Extremo Izquierdo,37,Bueno,Yeom Ki Hun
Kashima Antlers ,Korea Republic,Portero,35,Bueno,Kwoun Sun Tae
Fulham ,Scotland,Medio Centro Defensivo,31,Bueno,Kevin McDonald
RCD Mallorca ,Spain,Portero,35,Bueno,Manolo Reina
Benevento ,Italy,Medio Centro Defensivo|Medio Centro,30,Bueno,Nicolas Viola
Cardiff City ,England,Medio Centro Ofensivo,31,Bueno,Lee Tomlin
Frosinone ,Italy,Delantero Centro,33,Bueno,Matteo Ardemagni
UD Las Palmas ,Spain,Lateral Izquierdo,34,Bueno,De la Bella
Spartak Moscow ,Russia,Lateral Derecho,36,Bueno,Andrey Eschenko
Middlesbrough ,England,Lateral Derecho|Defensa Central,31,Bueno,Ryan Shotton
Club Atlético Peñarol ,Uruguay,Medio Derecho|Extremo Izquierdo,37,Bueno,Fabián Estoyanoff
Sheffield Wednesday ,England,Medio Centro Defensivo|Medio Centro,30,Bueno,Sam Hutchinson
AIK ,Eritrea,Delantero Centro,35,Bueno,Henok Goitom
Sparta Praha ,Turkey,Defensa Central,29,Bueno,Semih Kaya
Tigres U.A.N.L. ,Mexico,Lateral Izquierdo|Defensa Central,32,Bueno,Jorge Torres Nilo
FC Seoul ,Korea Republic,Delantero Centro|Extremo Derecho,35,Bueno,Park Chu Young
San Lorenzo de Almagro ,Argentina,Portero,35,Bueno,Nicolás Navarro
Kilmarnock ,Republic of Ireland,Defensa Central|Medio Centro Defensivo|Medio Centro,33,Bueno,Gary Dicker
Fiorentina ,France,Media Punta|Extremo Izquierdo,37,Bueno,Cyril Théréau
Sheffield Wednesday ,Scotland,Delantero Centro,33,Bueno,Steven Fletcher
CD Lugo ,Spain,Defensa Central|Medio Centro Defensivo|Medio Centro,35,Bueno,Pita
Sydney FC ,England,Delantero Centro,33,Bueno,Adam Le Fondre
Celtic ,Republic of Ireland,Lateral Izquierdo|Carrilero Izquierdo|Medio Izquierdo|Extremo Izquierdo,33,Bueno,Jonny Hayes
Racing Club de Lens ,Belgium,Medio Centro Defensivo|Medio Centro,36,Bueno,Guillaume Gillet
Argentinos Juniors ,Argentina,Lateral Derecho|Defensa Central,37,Bueno,Marcos Angeleri
Preston North End ,Scotland,Medio Centro Defensivo|Medio Centro,35,Bueno,Paul Gallagher
Wellington Phoenix ,England,Defensa Central,34,Bueno,Steven Taylor
Guadalajara ,Mexico,Delantero Centro,36,Bueno,Oribe Peralta
Manchester City ,England,Portero,34,Bueno,Scott Carson
Sampdoria ,Paraguay,Medio Centro,36,Bueno,Edgar Barreto
Norwich City ,Norway,Medio Centro Defensivo,34,Bueno,Alexander Tettey
Spartak Moscow ,Russia,Portero,36,Bueno,Artem Rebrov
R. Sporting ,Spain,Medio Centro Defensivo|Medio Centro,36,Bueno,Javi Fuego
Rayo Vallecano ,Spain,Lateral Derecho|Lateral Izquierdo,35,Bueno,Tito
Antalyaspor ,Turkey,Lateral Izquierdo|Medio Izquierdo,29,Bueno,Eren Albayrak
Gazisehir Gaziantep Futbol Kulübü ,Turkey,Delantero Centro|Medio Centro Ofensivo,28,Bueno,Muhammet Demir
Club Atlético Aldosivi ,Argentina,Portero,38,Bueno,Luciano Pocrnjic
River Plate ,Argentina,Portero,38,Bueno,Enrique Bologna
Club Atlético Aldosivi ,Argentina,Medio Centro,37,Bueno,Román Martínez
Club Atlético Talleres ,Argentina,Defensa Central,39,Bueno,Javier Gandolfi
Club Atlético Huracán ,Argentina,Lateral Derecho|Lateral Izquierdo,38,Bueno,Carlos Araujo
CD Tenerife ,Spain,Medio Centro Defensivo,35,Bueno,Aitor Sanz
Club Atlético Peñarol ,Hungary,Medio Centro Defensivo|Medio Centro,35,Bueno,Krisztián Vadócz
Wigan Athletic ,Scotland,Portero,35,Bueno,David Marshall
Gamba Osaka ,Japan,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,40,Bueno,Yasuhito Endo
Chievo Verona ,Slovenia,Defensa Central,38,Bueno,Boštjan Cesar
Crotone ,Argentina,Delantero Centro,36,Bueno,Maximiliano López
Empoli ,Italy,Defensa Central,37,Bueno,Domenico Maietta
Hellas Verona ,Italy,Delantero Centro,35,Bueno,Giampaolo Pazzini
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Lateral Derecho|Defensa Central,36,Bueno,Gabriel Tama?
Free Agents ,Iceland,Medio Centro Defensivo|Medio Centro,36,Bueno,Emil Hallfre?sson
Konyaspor ,Turkey,Defensa Central,36,Bueno,Ali Turan
Derby County ,England,Medio Centro Defensivo,33,Bueno,Tom Huddlestone
Manchester United ,England,Portero,37,Bueno,Lee Grant
Celtic ,Scotland,Portero,37,Bueno,Craig Gordon
KV Mechelen ,Belgium,Delantero Centro,37,Bueno,Igor de Camargo
SV Zulte Waregem ,Belgium,Lateral Izquierdo|Defensa Central,39,Bueno,Olivier Deschacht
Gil Vicente FC ,Portugal,Lateral Izquierdo|Defensa Central,34,Bueno,Rúben Fernandes
SD Ponferradina ,Brazil,Delantero Centro,37,Bueno,Yuri
Club Deportivo El Nacional ,Ecuador,Delantero Centro,25,Bueno,Byron Palacios
Cusco Fútbol Club ,Argentina,Medio Centro Ofensivo,34,Bueno,Alfredo Ramúa
LDU Quito ,Ecuador,Lateral Izquierdo,26,Bueno,Luis Ayala
SK Slavia Praha ,Czech Republic,Defensa Central|Medio Centro Defensivo,24,Bueno,Ladislav Takács
Deportivo Binacional ,Peru,Portero,35,Bueno,Michael Sotillo
FBC Melgar ,Peru,Medio Centro Defensivo|Medio Centro,31,Bueno,Edson Aubert
Deportivo Binacional ,Peru,Defensa Central,31,Bueno,Eder Fernández
Free Agents ,South Africa,Lateral Izquierdo|Defensa Central,27,Bueno,Mosa Lebusa
Belenenses ,Portugal,Defensa Central,21,Muy Bueno,Tomás Ribeiro
Sociedad Deportiva Aucas ,Argentina,Defensa Central,31,Bueno,Alejandro Manchot
Club Nacional de Football ,Uruguay,Lateral Derecho,24,Bueno,Armando Méndez
Club Atlético Peñarol ,Uruguay,Medio Derecho|Extremo Derecho,18,Muy Bueno,Facundo Pellistri
Club Atlético Peñarol ,Uruguay,Medio Centro Defensivo,36,Bueno,Marcel Novick
Club Atlético Peñarol ,Uruguay,Lateral Derecho|Lateral Izquierdo|Medio Centro Defensivo,27,Bueno,Jesús Trindade
Club Libertad ,Paraguay,Lateral Izquierdo,22,Bueno,Matías Espinoza
Vitesse ,Israel,Lateral Derecho|Medio Derecho,27,Bueno,Eli Dasa
OGC Nice ,Algeria,Medio Derecho|Medio Centro,20,Muy Bueno,Hichem Boudaoui
Deportivo Toluca ,Uruguay,Medio Centro Ofensivo,21,Bueno,Leonardo Fernández
Free Agents ,Egypt,Lateral Derecho|Defensa Central,23,Bueno,Baher El Mohamady
Free Agents ,Ivory Coast,Lateral Izquierdo|Defensa Central,26,Bueno,Cheick Comara
Moreirense FC ,Portugal,Medio Centro|Medio Centro Ofensivo,21,Bueno,Filipe Soares
Futebol Clube de Famalicão ,Brazil,Lateral Derecho|Defensa Central,21,Bueno,Riccieli
Sparta Praha ,Czech Republic,Defensa Central|Medio Centro Defensivo,21,Bueno,Ladislav Krejcí
Watford ,Brazil,Delantero Centro|Medio Izquierdo,18,Muy Bueno,João Pedro
FC Porto ,Portugal,Delantero Centro,18,Muy Bueno,Fábio Silva
Olympiacos CFP ,Serbia,Medio Derecho|Medio Izquierdo,22,Bueno,Lazar Randelovic
Free Agents ,Ecuador,Defensa Central,27,Bueno,Santiago Herreyra
Free Agents ,Ecuador,Medio Derecho|Medio Izquierdo,26,Bueno,Carlos Lendezo
Free Agents ,Ecuador,Delantero Centro,28,Bueno,Luis Conderia
Free Agents ,Ecuador,Medio Izquierdo|Medio Centro Ofensivo,28,Bueno,Ángel Morenzo
Free Agents ,Ecuador,Medio Izquierdo|Medio Centro,34,Bueno,Enrique Sancero
KAA Gent ,Ivory Coast,Delantero Centro,20,Muy Bueno,Anderson Niangbo
Club Brugge KV ,Belgium,Delantero Centro|Medio Centro Ofensivo|Media Punta,19,Muy Bueno,Charles De Ketelaere
Pordenone ,Italy,Lateral Izquierdo,36,Bueno,Michele De Agostini
Gil Vicente FC ,Portugal,Lateral Izquierdo,24,Bueno,Henrique Gomes
Moreirense FC ,Portugal,Medio Izquierdo|Medio Centro Ofensivo,21,Muy Bueno,Nuno Santos
Kaizer Chiefs ,Serbia,Delantero Centro|Media Punta|Extremo Izquierdo,28,Bueno,Samir Nurkovic
Futebol Clube de Famalicão ,Portugal,Medio Centro,23,Bueno,Guga Rodrigues
Arsenal de Sarandí ,Argentina,Delantero Centro|Media Punta,26,Bueno,Lautaro Parisi
Orlando Pirates ,South Africa,Delantero Centro|Medio Centro|Medio Centro Ofensivo,27,Bueno,Fortune Makaringe
Fútbol Club Juárez ,Argentina,Medio Derecho,31,Bueno,Mauro Fernández
Pogon Szczecin ,Croatia,Portero,29,Bueno,Dante Stipica
FC Paços de Ferreira ,France,Medio Centro Defensivo,23,Bueno,Mohamed Diaby
Boavista FC ,Ghana,Medio Centro Defensivo|Medio Centro,21,Bueno,Yaw Ackah
Asocia?ia Fotbal Club Astra Giurgiu ,Montenegro,Lateral Izquierdo|Medio Izquierdo,28,Bueno,Risto Radunovic
CFR Cluj ,Romania,Extremo Derecho|Extremo Izquierdo,30,Bueno,Catalin Golofca
Cruz Azul ,Paraguay,Lateral Derecho|Defensa Central,25,Bueno,Juan Escobar
Al Ain FC ,United Arab Emirates,Lateral Derecho|Medio Derecho,30,Bueno,Bandar Al Ahbabi
América de Cali ,Argentina,Defensa Central,31,Bueno,Juan Pablo Segovia
Cagliari ,Uruguay,Medio Centro Defensivo|Medio Centro,24,Bueno,Christian Oliva
RCD Espanyol ,Spain,Delantero Centro,23,Muy Bueno,Campuzano
DSC Arminia Bielefeld ,Germany,Defensa Central,22,Bueno,Amos Pieper
Celtic ,Ivory Coast,Delantero Centro|Medio Izquierdo,23,Bueno,Vakoun Issouf Bayo
Unión de Santa Fe ,Uruguay,Medio Centro,25,Bueno,Javier Méndez
Yokohama F·Marinos ,Korea Republic,Portero,30,Bueno,Park Il Gyu
Fútbol Club Juárez ,Paraguay,Lateral Derecho|Defensa Central,29,Bueno,Gustavo Velázquez
Chicago Fire Soccer Club ,Argentina,Delantero Centro|Extremo Derecho|Extremo Izquierdo,20,Muy Bueno,Ignacio Aliseda
Ajax ,Netherlands,Medio Centro Defensivo|Medio Centro,18,Muy Bueno,Ryan Gravenberch
RC Deportivo ,Spain,Medio Derecho|Medio Izquierdo,19,Muy Bueno,Mollejo
FC St. Pauli ,Wales,Lateral Izquierdo|Defensa Central|Medio Centro Defensivo,27,Bueno,James Lawrence
PFC CSKA Moscow ,Russia,Defensa Central,20,Muy Bueno,Igor Diveev
RCD Espanyol ,Spain,Carrilero Derecho|Lateral Derecho|Medio Derecho|Extremo Derecho,20,Muy Bueno,Víctor Gómez
Spartak Moscow ,Russia,Lateral Derecho|Lateral Izquierdo,22,Bueno,Nikolay Rasskazov
CF Fuenlabrada ,Senegal,Delantero Centro,25,Bueno,Sekou Gassama
Besiktas JK ,Turkey,Delantero Centro|Medio Izquierdo,21,Bueno,Güven Yalçin
Deportes Tolima ,Colombia,Delantero Centro|Medio Derecho|Medio Izquierdo,26,Bueno,Andrey Estupiñán
Gallos Blancos de Querétaro ,Mexico,Medio Centro|Medio Centro Ofensivo,19,Muy Bueno,Marcel Ruiz
Portimonense SC ,Portugal,Medio Centro,23,Bueno,Bruno Costa
Nîmes Olympique ,Morocco,Medio Centro Ofensivo,21,Muy Bueno,Yassine Benrahou
Viktoria Plzen ,Czech Republic,Lateral Derecho|Lateral Izquierdo|Medio Derecho,25,Bueno,Milan Havel
AEK Athens ,Greece,Delantero Centro|Medio Derecho|Medio Izquierdo,25,Bueno,Christos Albanis
Shakhtar Donetsk ,Ukraine,Portero,28,Bueno,Oleksiy Shevchenko
Pohang Steelers ,Serbia,Medio Centro|Medio Centro Ofensivo,26,Bueno,Aleksandar Palocevic
CFR Cluj ,Romania,Medio Centro Defensivo,28,Bueno,Mihai Bordeianu
Fortuna Sittard ,Moldova,Portero,26,Bueno,Alexei Koselev
Roma ,Spain,Medio Centro Defensivo|Medio Centro,22,Muy Bueno,Gonzalo Villar
PFC CSKA Moscow ,Slovenia,Medio Centro Defensivo,21,Muy Bueno,Jaka Bijol
Club Necaxa ,Argentina,Delantero Centro|Medio Derecho,22,Bueno,Maximiliano Salas
UD Almería ,Spain,Medio Derecho,29,Bueno,Corpas
1. FC Union Berlin ,Germany,Defensa Central,23,Bueno,Keven Schlotterbeck
Grenoble Foot 38 ,Senegal,Delantero Centro,20,Muy Bueno,Moussa Djitté
Chamois Niortais Football Club ,France,Delantero Centro,24,Bueno,Ibrahim Sissoko
Al Hazem ,Algeria,Portero,34,Bueno,Malik Asselah
Extremadura UD ,Spain,Lateral Derecho|Medio Derecho,24,Bueno,Álex Díez
R. Zaragoza ,Nigeria,Medio Izquierdo|Medio Centro,25,Bueno,James Igbekeme
Orlando Pirates ,South Africa,Carrilero Izquierdo|Extremo Derecho|Extremo Izquierdo,28,Bueno,Vincent Pule
FC Girondins de Bordeaux ,France,Medio Centro|Medio Centro Ofensivo|Media Punta,20,Muy Bueno,Yacine Adli
Club Brugge KV ,Belgium,Delantero Centro|Extremo Izquierdo,20,Muy Bueno,Ikoma Loïs Openda
Sporting Charleroi ,Iran,Medio Derecho|Medio Izquierdo,24,Bueno,Ali Gholizadeh
CD Tenerife ,Spain,Delantero Centro,21,Muy Bueno,Dani Gómez
R. Zaragoza ,Spain,Medio Derecho,21,Muy Bueno,Alberto Soro
Cruz Azul ,Mexico,Defensa Central|Medio Centro Defensivo,25,Bueno,Luis Romo
U Craiova 1948 Club Sportiv ,Romania,Lateral Izquierdo,27,Bueno,Nicu?or Bancu
LASK Linz ,Brazil,Delantero Centro,23,Bueno,Klauss
Portimonense SC ,Japan,Lateral Derecho|Lateral Izquierdo,25,Bueno,Koki Anzai
Jeju United FC ,Costa Rica,Medio Centro|Medio Centro Ofensivo,28,Bueno,Elías Aguilar
Angers SCO ,France,Lateral Izquierdo,19,Muy Bueno,Rayan Aït Nouri
Piast Gliwice ,Slovakia,Portero,28,Bueno,František Plach
Independiente Santa Fe ,Colombia,Delantero Centro,29,Bueno,Diego Valdés
FC Erzgebirge Aue ,Bosnia & Herzegovina,Defensa Central,24,Bueno,Marko Mihojevic
Sassuolo ,Italy,Defensa Central,24,Bueno,Giangiacomo Magnani
Bologna ,Gambia,Delantero Centro,21,Muy Bueno,Musa Barrow
Yokohama F·Marinos ,Thailand,Lateral Izquierdo,30,Bueno,Theerathon Bunmathan
Argentinos Juniors ,Colombia,Delantero Centro|Medio Izquierdo,25,Bueno,Edwar López
CD Numancia ,Spain,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,24,Bueno,Aguado
TSG 1899 Hoffenheim ,Austria,Medio Centro Ofensivo|Extremo Izquierdo,20,Muy Bueno,Christoph Baumgartner
CD Antofagasta ,Venezuela,Medio Derecho|Extremo Derecho,24,Bueno,Eduard Bello
Kawasaki Frontale ,Japan,Lateral Derecho|Medio Centro Defensivo,25,Bueno,Hidemasa Morita
PFC CSKA Moscow ,Croatia,Medio Centro Defensivo|Medio Centro,22,Muy Bueno,Kristijan Bistrovic
Tigres U.A.N.L. ,Ecuador,Medio Centro Defensivo|Medio Centro,23,Bueno,Jordan Sierra
FC Red Bull Salzburg ,Ghana,Medio Centro,22,Bueno,Majeed Ashimeru
Defensa y Justicia ,Argentina,Delantero Centro|Media Punta|Extremo Derecho,25,Bueno,Guido Mainero
Cerezo Osaka ,Japan,Delantero Centro|Medio Centro Ofensivo,25,Bueno,Yuta Toyokawa
OGC Nice ,France,Lateral Izquierdo|Defensa Central,21,Bueno,Stanley Nsoki
AS Nancy Lorraine ,Cape Verde,Delantero Centro|Medio Derecho|Extremo Izquierdo,24,Bueno,Vagner
New York City FC ,United States,Medio Centro,22,Muy Bueno,Keaton Parks
Free Agents ,Egypt,Portero,28,Bueno,Mohamed Awad
Yeni Malatyaspor ,Tunisia,Medio Centro|Medio Centro Ofensivo,26,Bueno,Ghaylène Chaalali
Abha Club ,Tunisia,Medio Centro Ofensivo|Media Punta,26,Bueno,Saad Bguir
RC Celta ,Croatia,Medio Centro Defensivo|Medio Centro,28,Bueno,Filip Bradaric
Sassuolo ,Brazil,Lateral Izquierdo|Medio Izquierdo,22,Bueno,Rogério
Club Atlético Lanús ,Argentina,Medio Centro Defensivo|Medio Centro,22,Bueno,Tomás Belmonte
América de Cali ,Colombia,Medio Centro|Medio Centro Ofensivo,22,Muy Bueno,Jhon Arias
RC Deportivo ,Spain,Defensa Central|Medio Centro Defensivo|Medio Centro,21,Muy Bueno,Nolaskoain
KV Oostende ,Croatia,Defensa Central,31,Bueno,Goran Milovic
Stade Malherbe Caen ,France,Medio Centro Defensivo|Medio Centro,22,Bueno,Jessy Deminguet
Free Agents ,South Africa,Lateral Derecho|Defensa Central|Medio Centro Defensivo,31,Bueno,Thamsanqa Mkhize
Feyenoord ,Netherlands,Lateral Derecho|Defensa Central|Medio Centro Defensivo,20,Muy Bueno,Lutsharel Geertruida
Vitesse ,Netherlands,Defensa Central,21,Bueno,Armando Obispo
SC Paderborn 07 ,Nigeria,Lateral Izquierdo|Medio Izquierdo,25,Bueno,Jamilu Collins
R. Oviedo ,Spain,Medio Izquierdo|Medio Centro Ofensivo,24,Bueno,Borja Sánchez
UD Almería ,Serbia,Defensa Central,24,Bueno,Nikola Maraš
Real Sociedad ,Spain,Lateral Derecho,23,Bueno,Gorosabel
Gazisehir Gaziantep Futbol Kulübü ,Mali,Medio Derecho|Medio Centro|Medio Centro Ofensivo,25,Bueno,Souleymane Diarra
D.C. United ,Venezuela,Medio Centro Defensivo|Medio Centro,27,Bueno,Júnior Moreno
Gimnasia y Esgrima La Plata ,Argentina,Lateral Izquierdo,22,Muy Bueno,Matías Melluso
Free Agents ,Paraguay,Medio Derecho|Medio Centro,23,Bueno,Mathías Villasanti
1. FSV Mainz 05 ,Germany,Lateral Derecho|Medio Centro Defensivo|Medio Centro,22,Muy Bueno,Ridle Baku
FC Barcelona ,Netherlands,Medio Centro Defensivo|Medio Centro,20,Muy Bueno,Ludovit Reis
Roma ,Turkey,Defensa Central,23,Muy Bueno,Yildirim Mert Çetin
Al Raed ,Morocco,Medio Derecho|Medio Izquierdo,28,Bueno,Mohamed Fouzair
Panathinaikos FC ,Greece,Defensa Central,28,Bueno,Dimitrios Kolovetsios
KV Kortrijk ,Ukraine,Lateral Izquierdo|Medio Centro Defensivo|Medio Centro,29,Bueno,Yevhen Makarenko
Racing Club de Lens ,Mali,Carrilero Derecho|Lateral Derecho|Extremo Derecho,25,Bueno,Cheick Traoré
Club Atlético Banfield ,Uruguay,Delantero Centro,27,Bueno,Junior Arias
Kaizer Chiefs ,South Africa,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,25,Bueno,Dumisani Zuma
Moreirense FC ,Brazil,Extremo Derecho|Extremo Izquierdo,24,Bueno,Gabrielzinho
Empoli ,Slovenia,Medio Centro Defensivo|Medio Centro,25,Bueno,Leo Štulac
Olympiacos CFP ,Senegal,Defensa Central,24,Bueno,Ousseynou Ba
Paris FC ,France,Medio Centro Defensivo|Medio Centro,28,Bueno,Cyril Mandouki
Getafe CF ,Serbia,Portero,24,Bueno,Filip Manojlovic
Shakhtar Donetsk ,Georgia,Defensa Central,27,Bueno,Davit Khocholava
VfL Bochum 1848 ,Greece,Defensa Central,30,Bueno,Vassilios Lampropoulos
Empoli ,Italy,Medio Centro|Medio Centro Ofensivo,20,Muy Bueno,Davide Frattesi
FC Thun ,Burkina Faso,Delantero Centro|Extremo Izquierdo,21,Bueno,Hassane Bandé
LASK Linz ,Austria,Delantero Centro,22,Bueno,Marko Raguz
Málaga CF ,Spain,Medio Derecho|Medio Izquierdo,23,Bueno,Tete Morente
FC Midtjylland ,Nigeria,Medio Centro Defensivo|Medio Centro,22,Bueno,Frank Onyeka
