team,nationality,position,age,potential,name
C Bayern Münche,Spain,Medio Centro Defensivo | Medio Centro | ,29,Muy Bueno,Thiago
C Barcelon,Spain,Lateral Izquierdo,31,Muy Bueno,Jordi Alba
uventu,Italy,Defensa Central,33,Muy Bueno,Leonardo Bonucci
ottenham Hotspu,Belgium,Defensa Central,31,Muy Bueno,Toby Alderweireld
uventu,Bosnia & Herzegovina,Medio Centro Defensivo | Medio Centro | ,30,Muy Bueno,Miralem Pjanic
aris Saint-Germai,Uruguay,Delantero Centro,33,Muy Bueno,Edinson Cavani
orussia Mönchengladbac,Switzerland,Portero,31,Muy Bueno,Yann Sommer
talant,Argentina,Delantero Centro | Medio Centro Ofensivo | Media Punta | ,32,Muy Bueno,Alejandro Gómez
uventu,Netherlands,Defensa Central,20,Sobresaliente,Matthijs de Ligt
anchester Cit,Spain,Medio Centro Defensivo | Medio Centro | ,24,Muy Bueno,Rodri
iverpoo,England,Lateral Derecho,21,Sobresaliente,Trent Alexander-Arnold
C Barcelon,Brazil,Medio Centro,23,Sobresaliente,Arthur
ila,Italy,Portero,21,Sobresaliente,Gianluigi Donnarumma
ja,Cameroon,Portero,24,Muy Bueno,André Onana
azi,Serbia,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,25,Sobresaliente,Sergej Milinkovic-Savic
eal Beti,France,Delantero Centro | Medio Derecho | Medio Centro Ofensivo | ,27,Muy Bueno,Nabil Fekir
tlético Madri,Uruguay,Defensa Central,25,Muy Bueno,José María Giménez
C Bayern Münche,Germany,Defensa Central,24,Sobresaliente,Niklas Süle
tlético Madri,Spain,Lateral Izquierdo | Medio Izquierdo | Medio Centro | ,25,Muy Bueno,Saúl
C Bayern Münche,Germany,Medio Derecho | Medio Izquierdo | Extremo Derecho | ,25,Muy Bueno,Serge Gnabry
C Barcelon,France,Defensa Central,26,Muy Bueno,Samuel Umtiti
eal Madri,Spain,Lateral Derecho,28,Muy Bueno,Carvajal
azi,Spain,Medio Centro | Medio Centro Ofensivo | Media Punta | ,27,Muy Bueno,Luis Alberto
nte,Netherlands,Defensa Central,28,Muy Bueno,Stefan de Vrij
L Benfic,Portugal,Medio Derecho | Medio Centro | ,30,Muy Bueno,Pizzi
eal Madri,Spain,Medio Centro | Medio Centro Ofensivo | Extremo Izquierdo | ,28,Muy Bueno,Isco
C Celt,Spain,Delantero Centro | Extremo Derecho | ,32,Muy Bueno,Iago Aspas
rsena,Germany,Portero,28,Muy Bueno,Bernd Leno
C Bayern Münche,Germany,Medio Derecho | Medio Centro Ofensivo | Extremo Derecho | ,30,Muy Bueno,Thomas Müller
C Bayern Münche,Brazil,Medio Centro | Medio Centro Ofensivo | Extremo Izquierdo | ,28,Muy Bueno,Coutinho
orussia Dortmun,Switzerland,Portero,29,Muy Bueno,Roman Bürki
uangzhou Evergrande Taobao F,Brazil,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,32,Muy Bueno,Paulinho
B Leipzi,Hungary,Portero,30,Muy Bueno,Péter Gulácsi
iverpoo,England,Medio Centro Defensivo | Medio Centro | ,30,Muy Bueno,Jordan Henderson
iverpoo,Netherlands,Medio Centro Defensivo | Medio Centro | ,29,Muy Bueno,Georginio Wijnaldum
orussia Dortmun,Belgium,Medio Centro Defensivo | Medio Centro | ,31,Muy Bueno,Axel Witsel
eal Madri,Wales,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,31,Muy Bueno,Gareth Bale
ottenham Hotspu,Belgium,Lateral Izquierdo | Defensa Central | ,33,Muy Bueno,Jan Vertonghen
C Barcelon,Croatia,Medio Centro,32,Muy Bueno,Ivan Rakitic
uventu,Argentina,Delantero Centro,32,Muy Bueno,Gonzalo Higuaín
anchester Cit,Brazil,Defensa Central | Medio Centro Defensivo | ,35,Muy Bueno,Fernandinho
ila,Sweden,Delantero Centro,38,Muy Bueno,Zlatan Ibrahimovic
ayer 04 Leverkuse,Germany,Medio Derecho | Medio Centro Ofensivo | ,21,Sobresaliente,Kai Havertz
anchester Unite,England,Delantero Centro | Medio Izquierdo | ,22,Muy Bueno,Marcus Rashford
nte,Argentina,Delantero Centro,22,Sobresaliente,Lautaro Martínez
eicester Cit,Nigeria,Medio Centro Defensivo | Medio Centro | ,23,Muy Bueno,Wilfred Ndidi
