Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1837,,Volcán complejo,False,False,Peuet Sague(Indonesia)
1853,2.0,Volcán submarino,False,False,Unnamed(Taiwan)
1854,2.0,Caldera,False,False,Aso(Japan)
1860,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1871,2.0,Estratovolcán,False,False,Camiguin(Philippines)
1875,5.0,Estratovolcán,False,False,Askja(Iceland)
1886,4.0,Estratovolcán,False,False,Tungurahua(Ecuador)
1886,2.0,Domo de lava,False,False,Okataina(New Zealand)
1893,4.0,Estratovolcán,False,False,Calbuco(Chile)
1951,3.0,Estratovolcán,False,False,Camiguin(Philippines)
1953,2.0,Volcán submarino,False,False,Myojun Knoll(Japan)
1957,,Volcán complejo,False,False,Unzen(Japan)
1981,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1993,,Estratovolcán,False,False,Wurlali(Indonesia)
1993,1.0,Estratovolcán,False,False,Pinatubo(Philippines)
1996,2.0,Estratovolcán,False,False,Kanlaon(Philippines)
2013,,Estratovolcán,False,False,Mayon(Philippines)
2017,,Estratovolcán,False,False,Etna(Italy)
2017,,Volcán complejo,False,False,Dieng Volc Complex(Indonesia)
-1750,6.0,Estratovolcán,False,False,Veniaminof(United States)
847,6.0,Estratovolcán,False,False,Bona-Churchill(United States)
930,6.0,Estratovolcán,False,False,Ceboruco(Mexico)
1158,4.0,Estratovolcán,False,False,Hekla(Iceland)
1329,1.0,Estratovolcán,False,False,Etna(Italy)
1510,4.0,Estratovolcán,False,False,Hekla(Iceland)
1615,3.0,Caldera,False,False,Banda Api(Pacific Ocean)
1617,3.0,Estratovolcán,False,False,Fuego(Guatemala)
1646,4.0,Estratovolcán,False,False,Makian(Indonesia)
1677,2.0,Estratovolcán,False,False,La Palma(Spain)
1784,0.0,Volcán escudo,False,False,Hualalai(United States)
1800,5.0,Estratovolcán,False,False,St. Helens(United States)
1820,2.0,Caldera,False,False,Banda Api(Pacific Ocean)
1827,2.0,Estratovolcán,False,False,Avachinsky(Russia)
1843,2.0,Estratovolcán,False,False,Etna(Italy)
1847,2.0,Volcán complejo,False,False,Dieng Volc Complex(Indonesia)
1857,,Volcán complejo,False,False,Umboi(Papua New Guinea)
1866,2.0,Volcán escudo,False,False,Ofu-Olosega(United States)
1870,2.0,Estratovolcán,False,False,Ruang(Indonesia)
1870,3.0,Volcán complejo,False,False,Iliwerung(Indonesia)
1885,3.0,Estratovolcán,False,False,Purace(Colombia)
1897,2.0,Estratovolcán,False,False,Tinakula(Solomon Is.)
1902,4.0,Estratovolcán,False,False,Soufriere St. Vincent(St. Vincent & the Grenadines)
1903,,Volcán escudo,False,False,Karthala(Comoros)
1932,3.0,Estratovolcán,False,False,Kusatsu-Shirane(Japan)
1951,2.0,Volcán submarino,False,False,Kavachi(Solomon Is.)
1971,,Estratovolcán,False,False,Kusatsu-Shirane(Japan)
1991,1.0,Estratovolcán,False,False,Lokon-Empung(Indonesia)
1995,3.0,Volcán complejo,False,False,Pacaya(Guatemala)
1998,,Volcán escudo,False,False,Kilauea(United States)
1999,2.0,Estratovolcán,False,False,Fuego(Guatemala)
2011,3.0,Estratovolcán,False,False,Gamalama(Indonesia)
2017,,Estratovolcán,False,False,Sinabung(Indonesia)
-3550,6.0,Estratovolcán,False,False,Pinatubo(Philippines)
1050,,Volcán escudo,False,False,Santorini(Greece)
1177,3.0,Volcán subglacial,False,False,Katla(Iceland)
1595,4.0,Estratovolcán,False,False,Ruiz(Colombia)
1598,3.0,Caldera,False,False,Banda Api(Pacific Ocean)
1638,4.0,Estratovolcán,False,False,Raung(Indonesia)
1659,3.0,Estratovolcán,False,False,San Salvador(El Salvador)
1684,2.0,Caldera,False,False,Grimsvotn(Iceland)
1693,4.0,Estratovolcán,False,False,Hekla(Iceland)
1694,3.0,Caldera,False,False,Banda Api(Pacific Ocean)
1794,3.0,Volcán complejo,False,False,Vesuvius(Italy)
1800,1.0,Respiradero de fisura,False,False,San Jorge(Portugal)
1816,2.0,Caldera,False,False,Aso(Japan)
1817,2.0,Estratovolcán,False,False,Ijen(Indonesia)
1825,,Estratovolcán,False,False,Balbi(Papua New Guinea)
1846,1.0,Estratovolcán,False,False,E-san(Japan)
